developer,owners
Reiza Studios,1000000
Octoshark Studios,1000000
Reakktor Studios,1000000
AN Productions,1000000
Unreal Software,1000000
Spiderweb Software,800000
upjers,750000
L. Stotch,750000
"Arcen Games, LLC",750000
ILMxLAB,700000
Desert Owl Games LLC,700000
Noble Master LLC,700000
IKEA Communications AB,700000
Saibot Studios,700000
Playata GmbH,700000
Hunted Cow Studios,600000
Camex Games,600000
Synapse Games,600000
Luden.io,600000
FIVE-BN GAMES,570000
Upturn Games,550000
Eternal Night Studios,550000
O'olBlue Inc.,550000
VIS-Games,550000
Extreme Developers,550000
David Szymanski,550000
Scary Bee LLC,550000
StevenHarmonGames,520000
Gravvit Ltd,500000
Juppiomenz,500000
McKay,500000
Tanki Online Ltd.,500000
Yash Kapani,500000
Maxime Vézina,500000
Joni Kittaka,500000
Runewaker,500000
Supra Games,500000
Mighty Games,500000
Gaming Corps AB,500000
PlayFlock,500000
Antanas Marcelionis,500000
Sparkypants Studios LLC,500000
Gameguyz,500000
MiaoXi Studio,500000
Anoop Nihar Srinivas,500000
ToastieLabs,500000
Ankur Rathore,500000
Michaela Laws,500000
Demiurge Studios,500000
"PopCap Games, Inc.",500000
Team Amorous,500000
Lightspeed Studios™,500000
Viswanath Atlu,500000
Lightbulb Crew,500000
Retro Yeti Games,500000
Invi Games,500000
Poolians.com,500000
777 Studios,500000
Renė Petrulienė,500000
Shifty Chair Games,500000
Spiritwalk Games,500000
Reactor Zero,500000
Tabletopia Inc.,500000
Emad,500000
Albert Fernandez,500000
Tigerish Games,500000
ESTgames Corp.,500000
Katharine Marsh,500000
Tuwi Michael Nannings,500000
AlPixel Games,500000
THE BROTHERHOOD,500000
Statespace,500000
Against Gravity®,500000
Days of Wonder,500000
Daniel Jonathan Bourke,500000
Cornered Rat Software,500000
AIGRIND,500000
Rusty Lake,500000
T3 Entertainment,500000
Dark Day Interactive,500000
MAGICS,500000
Red Dwarf Games,500000
David Schneider,500000
Hex Entertainment,500000
Woolf,500000
Eat Create Sleep,500000
Luis Diaz,500000
Godot Engine,500000
Mannequin Games LLC,500000
Dead Shark Triplepunch,500000
Emmett Butler,500000
Aldin Dynamics,500000
インレ,500000
Hardit Singh,500000
MasterCode,500000
YETU GAME,500000
AlternativaPlatform,500000
Define Human Studios,500000
Duion,500000
Decky Coss,500000
Crematorium of Time,500000
Psychic Games Ltd.,500000
Alientrap,500000
Croteam,500000
Puny Human,500000
Thunder Devs.,500000
Crunchy Games,500000
"Entwell Co., Ltd.",500000
REMIMORY,500000
WEBZEN,500000
Squanch Games,500000
Rabbiton,500000
Stainless Games Ltd,500000
Marco Amadei,500000
Tice Thomason,500000
SNK CORPORATION,500000
"Hassey Enterprises, Inc.",500000
treeform,500000
Kukouri Mobile Entertainment,500000
Dueking,500000
GDT Limited,500000
Blowfish Studios,500000
LR Studio,500000
The Creative Assembly,500000
The Odd Gentlemen,500000
nobodyshot,500000
Blue Wizard Digital,500000
JAVELIN OÜ,500000
BlueLine Games,500000
The Battle for Wesnoth Project,500000
NetDragon Websoft Inc.,500000
Net Games Laboratory,500000
Overgroup,500000
Vae Victis Games,500000
The Artistocrats,500000
FlyAnvil,500000
Laurie Banks,500000
Oxide Games,500000
Vaclav Hudec,500000
The Quinnspiracy,500000
LLC RIKOR IMT,500000
Brave Little Studios,500000
G2CREW,500000
Dire Wolf Digital,500000
Team Nekojishi,500000
Icy Donut,500000
Avocavo,500000
Avinash Kalapala,500000
Forbes  Consult Ltd,500000
Blind Sky Studios,500000
Isaac Schankler,500000
Transhuman Design,500000
like Charlie,500000
Shumkov Dmitriy,500000
ObsessionSoft,500000
Berzerk Studio,500000
kikiyama,500000
InvertMouse,500000
Omniconnection,500000
Insanity Games,500000
"Bigscreen, Inc.",500000
Inre,500000
LWNA,500000
Basaltic studio,500000
Dodge Roll,500000
Industry Games,500000
Ink Stains Games,500000
BitCake Studio,500000
Nina Freeman,500000
Freakinware Limited,500000
Nimbly Games,500000
Frank Lucas,500000
gord10,500000
nanos GbR,500000
Doborog Games,500000
Infinity Plus 2,500000
Nick Burnham,500000
Rohan Bhukan,500000
Diminished Studios,500000
Super Evil Megacorp,500000
Fiveamp,500000
Aslan Game Studio,500000
VALOFE,500000
"CRAZYDIAMOND CO., LTD.",500000
Legend Studio,500000
Patrick Lindsey,500000
Guru Games,500000
CakeEaterGames,500000
Artifice Studio,500000
stage-nana,500000
DreamPunks,500000
Gustavo Santos,500000
Monkeys Lab.,500000
tamationgames,500000
Pipeworks Studio,500000
Mokus,500000
Robert Zhu,500000
Castle art by Yuriy Gusev,500000
Piranha Bytes,500000
MobileBits,500000
Zero-K Team,500000
Johannes Eski,500000
Subvert Games,500000
the whale husband,500000
Ryan Guanyuhao Jiang,500000
Chinzilla,500000
GameUS Inc.,500000
Fifth One,500000
Moonlit Works,500000
MovingBlocks,500000
Slightly Mad Studios,500000
Tentacle Games,500000
Dream Reactor,500000
rdt.32,500000
NGD Studios,500000
NEXON,500000
NEOWIZ BLESS STUDIO,500000
IO Entertainment,500000
NEKO WORKs,500000
Bytebin,500000
Stoic,500000
Jarbit,500000
Bytro Labs GmbH,500000
Galaxy Gate,500000
YFC games,450000
Studio Pixel,400000
dotBunny,400000
NIKITA ONLINE,400000
IT Territory,400000
Telltale Games,400000
Fantasy Flight Games,370000
FreezeNova,350000
Yai Gameworks,350000
Google Inc.,320000
White Wizard Games,300000
Aratog LLC,300000
Fervent,300000
Wholetone Games,300000
"L＆K CO., LTD",250000
OnSkull Games,250000
momoStorm Entertainment,250000
Linden Lab,250000
Mojiken Studio,250000
Absolutist Ltd.,250000
JoyBits Ltd.,250000
ebi-hime,250000
Fuero Games,250000
Aleksandr Golovkin,240000
Future Lighthouse,230000
Leiting Interactive,220000
Sapphire Dragon Productions,220000
Bryce Davis,220000
Skydance Interactive,220000
Evan Davis,220000
吃了就睡工作室,220000
IOSoccer Team,200000
Javelin OÜ,200000
"IMC GAMES CO.,LTD.",200000
