release_year,owners
1997,100000
1998,10000000
1999,20000000
2000,30000000
2001,20000000
2002,500000
2003,10200000
2004,80500000
2005,3050000
2006,56320000
2007,93890000
2008,92450000
2009,187240000
2010,137760000
2011,217780000
2012,241580000
2013,287880000
2014,337930000
2015,428020000
2016,473050000
2017,432920000
2018,303500000
2019,69390000
