Year,Genre,Popularity
1998,dutch cabaret,37
1999,dance pop,50
1999,album rock,61
1999,alternative rock,81
1999,dutch pop,57
1999,alternative metal,74
1999,europop,75
1999,alternative rock,77
1999,alternative rock,78
1999,mellow gold,62
1999,dance pop,44
1999,alternative rock,62
1999,album rock,18
1999,alternative rock,41
1999,downtempo,54
1999,modern rock,61
1999,blues rock,41
1999,alternative metal,56
1999,alternative rock,80
1999,downtempo,45
1999,classic italian pop,24
1999,g funk,70
1999,dutch cabaret,38
1999,pop punk,79
1999,alternative metal,48
1999,dutch pop,44
1999,blues rock,70
1999,detroit hip hop,72
1999,permanent wave,52
1999,alternative dance,65
1960,adult standards,74
1961,adult standards,78
1962,adult standards,77
1962,adult standards,77
1962,adult standards,73
1963,arkansas country,71
1963,album rock,69
1963,adult standards,57
1963,british invasion,74
1963,adult standards,59
1963,british invasion,71
1963,album rock,65
1964,classic rock,75
1964,album rock,69
1964,arkansas country,58
1964,album rock,69
1964,adult standards,66
1964,british invasion,69
1964,chanson,53
1964,british invasion,66
1964,album rock,46
1965,british invasion,78
1965,album rock,77
1965,album rock,71
1965,british invasion,69
1965,british invasion,73
1965,adult standards,70
1965,british invasion,67
1965,adult standards,74
1965,album rock,71
1965,british invasion,74
1965,album rock,53
1965,adult standards,62
1965,album rock,53
1965,album rock,47
1965,art rock,62
1966,album rock,78
1966,baroque pop,72
1966,adult standards,76
1966,british invasion,71
1966,brill building pop,57
1966,adult standards,75
1966,album rock,65
1966,classic rock,63
1966,baroque pop,61
1966,classic rock,65
1966,album rock,64
1966,album rock,58
1966,classic soul,66
1966,album rock,67
1966,classic uk pop,48
1966,adult standards,62
1966,british invasion,63
1966,motown,63
1966,classic soul,64
1966,baroque pop,72
1967,album rock,68
1967,album rock,61
1967,british invasion,67
1967,classic rock,79
1967,adult standards,73
1967,album rock,69
1967,british invasion,45
1967,canadian folk,66
1967,album rock,71
1967,baroque pop,71
1967,album rock,72
1967,british invasion,70
1967,canadian folk,62
1967,album rock,69
1967,british invasion,58
1967,album rock,70
1967,album rock,63
1967,british invasion,65
1967,british invasion,69
1967,album rock,72
1967,album rock,63
1967,british invasion,68
1967,adult standards,50
1967,british invasion,65
1967,dutch indie,37
1967,british invasion,65
1967,adult standards,41
1967,classic soul,80
1967,bubblegum pop,53
1967,british invasion,63
1967,brill building pop,73
1967,album rock,66
1967,album rock,74
1967,album rock,72
1967,album rock,69
1967,adult standards,62
1967,adult standards,66
1968,dutch rock,45
1968,classic soul,73
1968,british invasion,74
1968,album rock,60
1968,british invasion,70
1968,album rock,77
1968,dutch indie,43
1968,adult standards,75
1968,adult standards,69
1968,album rock,74
1968,classic rock,76
1968,adult standards,68
1968,classic uk pop,48
1968,album rock,72
1968,adult standards,48
1968,album rock,67
1968,album rock,56
1968,album rock,67
1968,adult standards,59
1968,adult standards,57
1968,classic uk pop,43
1968,adult standards,66
1968,pop,36
1968,adult standards,67
1968,brill building pop,69
1968,british invasion,66
1968,adult standards,59
1969,british invasion,82
1969,album rock,73
1969,album rock,76
1969,adult standards,72
1969,album rock,76
1969,adult standards,78
1969,album rock,80
1969,adult standards,63
1969,album rock,77
1969,album rock,67
1969,album rock,69
1969,adult standards,73
1969,british invasion,79
1969,british invasion,72
1969,album rock,50
1969,album rock,42
1969,classic rock,59
1969,adult standards,61
1969,album rock,69
1969,classic uk pop,46
1969,album rock,60
1969,classic uk pop,44
1969,album rock,41
1969,album rock,59
1969,classic uk pop,44
1969,blues,60
1969,album rock,63
1969,album rock,43
1969,british folk,57
1969,album rock,73
1969,dutch indie,34
1969,adult standards,64
1969,album rock,68
1969,dutch prog,36
1969,album rock,50
1969,blues rock,45
1969,album rock,48
1969,album rock,67
1956,adult standards,62
1958,adult standards,73
1958,adult standards,68
1958,adult standards,66
1958,adult standards,63
1958,adult standards,69
1959,blues rock,74
1959,bebop,65
1959,adult standards,56
