dayofyear;2013;2014;2015;2016;2017;2018
163;94967.45833333333;90697.0;107539.0;95596.66666666667;112259.58333333333;94932.41666666667
164;85448.54166666667;91244.08333333333;98142.33333333333;93272.95833333333;114538.70833333333;95916.16666666667
165;81263.125;78852.41666666667;97898.20833333333;89022.33333333333;108542.25;93208.5
166;83107.75;78387.83333333333;108995.25;92593.75;102153.75;92119.33333333333
167;100971.54166666667;101188.375;108152.54166666667;98253.08333333333;99613.58333333333;100526.70833333333
168;94098.08333333333;113119.58333333333;97476.125;97506.04166666667;95984.41666666667;118939.0
169;89338.875;116022.83333333333;99611.375;92218.45833333333;98147.95833333333;113333.66666666667
170;92619.16666666667;103194.125;97476.66666666667;86999.0;103072.04166666667;102486.375
171;95155.45833333333;96421.70833333333;90076.20833333333;89972.95833333333;96102.625;98210.08333333333
172;93208.41666666667;85721.79166666667;95754.95833333333;106760.70833333333;97868.08333333333;90805.41666666667
173;96180.83333333333;84575.125;109611.41666666667;105437.20833333333;104921.70833333333;83793.91666666667
174;110356.125;98613.70833333333;112487.0;97870.375;104012.70833333333;90249.08333333333
175;112005.58333333333;103061.54166666667;100248.29166666667;97287.875;93434.33333333333;95335.83333333333
176;108535.08333333333;105090.29166666667;96254.54166666667;97595.25;83694.70833333333;92516.08333333333
177;106779.25;103976.58333333333;93150.375;93573.375;87247.625;93890.5
178;104091.75;103289.95833333333;80618.41666666667;95217.29166666667;86253.375;105013.25
179;91381.66666666667;96312.04166666667;76923.125;105486.875;86476.83333333333;111434.83333333333
180;89580.70833333333;93952.83333333333;86727.875;100094.91666666667;97634.75;111198.70833333333
181;96241.91666666667;106730.66666666667;93096.58333333333;94234.91666666667;105281.20833333333;112482.29166666667
182;98025.0;112165.0;93235.83333333333;94119.875;97901.45833333333;119731.41666666667
183;100266.75;112548.5;87734.66666666667;94614.95833333333;95652.25;119316.08333333333
184;94910.75;101990.0;81502.75;80779.08333333333;100829.41666666667;111521.625
185;102744.66666666667;80372.875;79358.5;74558.5;94041.29166666667;116496.875
186;103204.33333333333;77177.875;83328.83333333333;77738.66666666667;100633.91666666667;105240.45833333333
187;101856.91666666667;83209.91666666667;100912.75;101648.20833333333;100550.04166666667;84325.91666666667
188;109186.58333333333;107111.58333333333;105295.29166666667;111316.375;102264.79166666667;84716.54166666667
189;111502.29166666667;110681.04166666667;100229.70833333333;112733.25;92638.16666666667;101740.20833333333
190;112793.70833333333;103605.16666666667;101141.91666666667;110992.95833333333;87546.20833333333;111073.70833333333
191;104580.58333333333;99905.20833333333;98808.0;96601.875;100350.875;109362.25
192;95667.20833333333;99564.95833333333;90449.41666666667;91029.79166666667;107833.54166666667;104385.20833333333
193;94467.58333333333;97030.25;89604.0;104383.08333333333;112803.625;105906.875
194;103925.54166666667;99773.33333333333;101522.08333333333;110207.45833333333;115119.875;101642.75
195;121614.58333333333;107001.08333333333;103964.125;112119.54166666667;106790.25;101477.08333333333
196;125642.95833333333;100699.5;97922.54166666667;114923.29166666667;96105.58333333333;116251.125
197;127293.41666666667;92394.66666666667;92579.0;111612.25;93136.5;112553.45833333333
198;131015.29166666667;90824.375;99837.91666666667;98194.16666666667;105276.95833333333;101077.58333333333
199;131190.29166666666;90144.33333333333;103130.04166666667;97735.16666666667;110786.20833333333;99601.25
200;113430.125;83333.29166666667;107596.45833333333;113024.0;117481.04166666667;98809.75
201;103393.25;85068.375;117578.16666666667;110468.29166666667;119743.79166666667;85512.04166666667
202;110485.125;101467.20833333333;112021.95833333333;107550.04166666667;118662.45833333333;85651.25
203;110716.875;110077.0;100800.5;111690.29166666667;108324.79166666667;100611.08333333333
204;100613.91666666667;109511.45833333333;99174.75;115956.875;100888.58333333333;104213.66666666667
205;91063.83333333333;96352.79166666667;100209.625;115978.375;103797.70833333333;104784.04166666667
206;93166.33333333333;91179.66666666667;97727.79166666667;111218.625;96561.04166666667;105997.29166666667
207;86566.66666666667;90252.625;98069.5;122923.41666666667;97745.125;102650.875
208;83388.75;93772.5;109530.20833333333;118679.66666666667;102185.16666666667;92413.375
209;93036.33333333333;95194.29166666667;115190.29166666667;117936.83333333333;100139.95833333333;88349.79166666667
210;93137.08333333333;86950.58333333333;117314.5;113797.5;83571.04166666667;94588.66666666667
211;93800.54166666667;87777.79166666667;114035.58333333333;108837.0;82918.33333333333;96856.66666666667
212;95712.54166666667;93476.58333333333;107114.04166666667;98917.70833333333;99194.41666666667;103522.0
213;96483.625;94737.83333333333;97198.70833333333;98470.375;104939.04166666667;105221.54166666667
214;87235.75;85047.54166666667;96526.70833333333;108380.58333333333;105513.79166666667;
215;81791.375;84751.625;106595.25;108465.375;105188.66666666667;
216;88850.16666666667;99221.625;107463.75;107337.70833333333;100488.375;
217;92533.45833333333;101726.08333333333;104006.91666666667;108380.41666666667;85474.54166666667;
218;99603.20833333333;98593.70833333333;96913.375;107529.91666666667;78901.58333333333;
219;103619.70833333333;95962.375;94957.20833333333;103674.5;88734.33333333333;
220;105797.08333333333;92696.875;90357.125;95805.79166666667;91111.04166666667;
221;94896.91666666667;87910.41666666667;90126.70833333333;103197.04166666667;93639.0;
222;90057.5;89313.29166666667;99498.33333333333;107246.66666666667;95533.875;
223;104101.45833333333;97909.16666666667;101492.5;117589.66666666667;95739.08333333333;
224;100113.625;95311.95833333333;97491.5;124203.41666666667;89147.20833333333;
225;86944.33333333333;94151.66666666667;96454.625;124120.54166666667;86585.875;
226;84935.375;89363.58333333333;99678.0;118206.04166666667;94998.25;
227;86240.75;85589.66666666667;97364.04166666667;111702.45833333333;100937.375;
228;81080.83333333333;81282.125;100186.0;114018.375;106476.83333333333;
229;79332.33333333333;84105.41666666667;112411.625;116355.45833333333;108644.0;
230;92257.91666666667;96286.29166666667;110034.375;115197.625;109016.70833333333;
231;101300.375;101913.0;109830.83333333333;112244.20833333333;99183.45833333333;
232;106508.5;103658.08333333333;104429.625;110187.16666666667;93665.04166666667;
233;105238.83333333333;102644.75;97986.79166666667;102042.66666666667;107920.875;
234;97841.79166666667;101913.04166666667;87261.41666666667;94616.95833333333;111643.91666666667;
235;86543.20833333333;91804.20833333333;86174.58333333333;95528.08333333333;100470.0;
236;86061.95833333333;89168.20833333333;98178.08333333333;95072.16666666667;90616.20833333333;
237;101581.04166666667;100575.79166666667;94793.79166666667;100930.54166666667;86727.45833333333;
238;111222.91666666667;102958.20833333333;88340.0;110285.08333333333;79756.04166666667;
239;108278.0;105504.29166666667;87930.58333333333;114925.83333333333;77131.83333333333;
240;107014.45833333333;100436.0;88667.58333333333;104862.70833333333;86088.16666666667;
241;107034.625;94331.125;86382.33333333333;102441.79166666667;85866.58333333333;
242;98593.25;90550.625;90615.79166666667;111906.66666666667;87872.08333333333;
243;96057.125;94228.66666666667;106159.375;109107.16666666667;90900.41666666667;
244;95907.91666666667;99866.33333333333;111145.41666666667;107906.125;79419.58333333333;
245;96701.5;110213.58333333333;111795.75;98646.45833333333;70354.75;
246;92699.875;105429.25;112982.0;89472.58333333333;71531.625;
247;92912.66666666667;105984.95833333333;108312.875;79728.54166666667;78372.75;
248;86744.16666666667;111439.875;94665.875;78502.875;90128.33333333333;
249;82052.20833333333;98746.83333333333;91577.75;85580.20833333333;82769.0;
250;86206.04166666667;82746.25;98100.875;105631.70833333333;79560.0;
251;96547.0;87940.54166666667;111044.0;112498.25;78439.375;
252;112807.125;90728.33333333333;109560.16666666667;115515.45833333333;71522.58333333333;
253;116914.33333333333;94382.58333333333;98392.54166666667;114312.08333333333;69127.29166666667;
254;106803.20833333333;94033.75;90781.58333333333;105562.70833333333;78324.54166666667;
255;87928.125;84754.29166666667;78300.91666666667;90679.45833333333;81491.29166666667;
256;72531.54166666667;74555.5;72524.45833333333;90952.75;85548.20833333333;
257;70785.0;69815.95833333333;80729.29166666667;96110.33333333333;88319.70833333333;
258;81714.91666666667;79650.66666666667;86073.5;98956.25;90521.29166666667;
259;80321.45833333333;81763.41666666667;90093.79166666667;90771.54166666667;86966.08333333333;
260;81662.625;80798.375;92777.91666666667;89473.375;85574.75;
261;86017.29166666667;81445.625;92472.29166666667;85740.625;91807.375;
262;88155.54166666667;80170.08333333333;84726.08333333333;88411.5;92760.625;
263;77244.58333333333;76600.625;76883.33333333333;96869.83333333333;97605.04166666667;
264;71451.875;77350.91666666667;81405.83333333333;96583.20833333333;101511.125;
265;78491.91666666667;80850.04166666667;83055.75;95278.16666666667;99409.91666666667;
266;79992.125;79367.04166666667;84343.33333333333;95898.625;92532.75;
267;80456.33333333333;80125.75;84696.41666666667;96712.33333333333;92614.29166666667;
268;81691.45833333333;81510.875;82359.45833333333;83341.75;103244.79166666667;
269;80643.16666666667;81651.66666666667;74017.58333333333;76433.54166666667;102626.375;
270;73663.0;75521.41666666667;72984.16666666667;81542.16666666667;101431.375;
271;70003.83333333333;74571.16666666667;88210.16666666667;81908.33333333333;89435.04166666667;
272;80568.08333333333;84438.0;90983.08333333333;80781.375;78933.875;
273;84013.08333333333;83203.54166666667;87115.29166666667;80943.0;69898.25;
274;87770.16666666667;81881.33333333333;78330.625;79164.95833333333;67775.25;
275;88962.20833333333;83002.875;77230.625;72715.20833333333;78192.70833333333;
276;91188.5;80972.16666666667;73384.0;70721.79166666667;81197.20833333333;
277;85508.5;72689.41666666667;69925.91666666667;79838.45833333333;83250.66666666667;
278;81483.41666666667;69832.29166666667;77948.5;80670.08333333333;84111.79166666667;
279;84176.66666666667;79048.33333333333;79338.25;80911.75;85503.625;
280;79179.54166666667;79991.375;80107.66666666667;81773.375;81994.16666666667;
281;79118.29166666667;80116.33333333333;80743.625;80919.75;81921.58333333333;
282;80252.20833333333;79648.75;80495.29166666667;72283.54166666667;92928.54166666667;
283;79846.41666666667;78899.04166666667;69934.33333333333;67764.375;92370.20833333333;
284;72632.54166666667;72522.66666666667;68605.20833333333;75992.5;87029.70833333333;
285;69893.54166666667;70081.54166666667;78254.375;78418.45833333333;80826.58333333333;
286;78381.5;79934.20833333333;79233.70833333333;78884.41666666667;78660.41666666667;
287;80138.5;83409.58333333333;78110.5;77957.83333333333;73834.375;
288;80504.83333333333;83603.08333333333;78380.91666666667;76558.375;73619.83333333333;
289;81495.25;81081.79166666667;77128.95833333333;70943.75;77092.83333333333;
290;78950.08333333333;79085.875;73184.29166666667;70438.125;77749.91666666667;
291;73044.25;72043.125;74589.20833333333;83395.95833333333;78787.0;
292;71079.54166666667;70677.125;83821.125;86668.58333333333;78266.08333333333;
293;80701.04166666667;81271.04166666667;81379.375;87541.41666666667;77409.16666666667;
294;81548.83333333333;81111.08333333333;79779.16666666667;84524.20833333333;71112.04166666667;
295;84058.70833333333;82303.95833333333;79234.625;81062.58333333333;69496.29166666667;
296;86761.125;81906.08333333333;77086.70833333333;71431.375;78932.79166666667;
297;86765.16666666667;80028.79166666667;71725.58333333333;70162.91666666667;80790.29166666667;
298;80511.5;72915.79166666667;69002.08333333333;76911.54166666667;78847.16666666667;
299;74580.875;69747.58333333333;78747.08333333333;79580.125;79899.5;
300;83988.875;80533.375;81929.66666666667;81791.91666666667;79542.70833333333;
301;83177.95833333333;80396.20833333333;81424.83333333333;81518.125;73633.75;
302;82627.29166666667;80063.04166666667;79798.375;78806.16666666667;74089.29166666667;
303;81441.41666666667;81576.375;79144.79166666667;73400.95833333333;82634.5;
304;79611.29166666667;83145.25;74435.95833333333;70130.5;82683.70833333333;
305;73235.58333333333;80127.16666666667;69987.24;76983.79166666667;84487.125;
306;75235.95652173914;79282.36;78557.25;80749.33333333333;80773.625;
307;87565.66666666667;86003.04166666667;79821.04166666667;80148.375;78728.45833333333;
308;85970.29166666667;82270.83333333333;79515.41666666667;79308.33333333333;72890.70833333333;
309;82918.33333333333;81030.41666666667;80434.25;76712.83333333333;70756.8;
310;83604.375;82912.58333333333;79811.75;72924.5;79142.04166666667;
311;87287.04166666667;84737.25;72138.91666666667;70764.0;83801.95833333333;
312;81392.83333333333;81683.83333333333;72051.45833333333;80052.41666666667;86006.66666666667;
313;76812.33333333333;76434.16666666667;83827.25;81225.33333333333;85839.66666666667;
314;87255.875;84525.45833333333;82072.41666666667;80877.79166666667;89168.79166666667;
315;93428.29166666667;83387.08333333333;80995.91666666667;81966.5;90175.04166666667;
316;97659.70833333333;85190.33333333333;81961.79166666667;79866.83333333333;84432.375;
317;94345.79166666667;92026.33333333333;81357.33333333333;77541.04166666667;89382.375;
318;89240.0;95210.375;77884.16666666667;77502.95833333333;89687.83333333333;
319;78104.54166666667;90698.75;75576.875;85385.08333333333;89901.16666666667;
320;73614.08333333333;87271.75;82029.75;83237.16666666667;86908.08333333333;
321;82078.45833333333;94803.41666666667;82135.41666666667;83285.45833333333;87683.33333333333;
322;89111.66666666667;105533.29166666667;81516.45833333333;82371.58333333333;82775.5;
323;92572.79166666667;107094.0;80716.0;80962.04166666667;79325.20833333333;
324;90980.41666666667;99811.375;82213.125;76963.83333333333;90681.625;
325;85791.66666666667;101783.16666666667;80602.45833333333;83613.625;88830.54166666667;
326;84379.625;94040.08333333333;80974.625;93527.91666666667;86850.75;
327;96102.625;82097.66666666667;93164.95833333333;93579.04166666667;82241.95833333333;
328;104418.08333333333;83881.33333333333;91198.45833333333;90584.58333333333;81682.125;
329;99523.20833333333;87377.79166666667;85660.0;75229.66666666667;77383.41666666667;
330;97999.625;94518.91666666667;73010.29166666667;75557.625;78151.66666666667;
331;90306.0;85785.375;72527.79166666667;77428.25;87506.16666666667;
332;90527.58333333333;90663.08333333333;73110.04166666667;79995.04166666667;87146.375;
333;90328.70833333333;88532.66666666667;75540.95833333333;88824.04166666667;84950.125;
334;86745.91666666667;79682.54166666667;88092.91666666667;84018.70833333333;86768.29166666667;
335;92142.33333333333;87307.95833333333;87111.33333333333;82909.66666666667;85595.95833333333;
336;91162.625;96954.25;86476.16666666667;85573.45833333333;84175.5;
337;88997.25;94866.54166666667;89837.29166666667;89092.375;80950.91666666667;
338;87075.04166666667;97207.625;90652.29166666667;84363.25;89596.41666666667;
339;91376.125;94945.875;85808.04166666667;83661.16666666667;87362.54166666667;
340;91898.29166666667;86716.625;84176.95833333333;89905.70833333333;91512.70833333333;
341;97935.04166666667;87528.125;90482.0;93595.45833333333;95414.41666666667;
342;102315.25;100750.29166666667;90079.375;92224.875;98717.75;
343;105209.70833333333;99141.54166666667;90349.79166666667;98068.625;96572.0;
344;107404.45833333333;98835.70833333333;85931.95833333333;102498.66666666667;93748.54166666667;
345;110423.91666666667;101956.45833333333;83458.25;97800.08333333333;97690.66666666667;
346;106349.08333333333;100088.5;75438.83333333333;94976.83333333333;99978.08333333333;
347;98218.83333333333;92563.41666666667;73034.45833333333;95208.54166666667;108617.5;
348;94875.20833333333;87165.04166666667;81932.16666666667;97832.45833333333;102883.375;
349;105457.08333333333;92246.33333333333;83659.5;100006.875;106800.95833333333;
350;105170.33333333333;94648.25;85766.08333333333;112697.5;95627.54166666667;
351;104345.79166666667;95012.58333333333;87273.29166666667;116626.04166666667;90392.625;
352;100022.54166666667;100690.41666666667;91191.25;98107.0;92102.29166666667;
353;91892.375;100105.58333333333;91073.79166666667;89429.54166666667;88837.66666666667;
354;81203.0;96165.54166666667;88451.625;105815.66666666667;90808.54166666667;
355;77518.08333333333;92009.41666666667;90540.70833333333;107418.20833333333;95406.70833333333;
356;87015.08333333333;99140.45833333333;84313.29166666667;102821.25;90072.91666666667;
