name,parent,value
Origin,,
2013_471945416.0,Origin,471945416.0
2014_797565801.0,Origin,797565801.0
2015_792299380.0,Origin,792299380.0
2016_793352742.0,Origin,793352742.0
2017_773636830.0,Origin,773636830.0
2018_474775900.0,Origin,474775900.0
