Year,Strata,Strata_Name,Frequency,Weighted Frequency,Percent,Lower 95% CL,Upper 95% CL
2012,Age,18 to 34,219,705000,7.63,6.55,8.72
2013,Age,18 to 34,241,916614,9.96,8.53,11.39
2014,Age,18 to 34,225,933103,10.18,8.46,11.91
2015,Age,18 to 34,372,902797,9.81,8.16,11.45
2016,Age,18 to 34,357,1086345,11.84,9.25,14.43
2017,Age,18 to 34,304,1822284,19.8,15.35,24.25
2018,Age,18 to 34,496,1623933,17.69,13.72,21.66
