Year,Strata,Strata Name,Frequency,Weighted Frequency,Percent,Lower 95% CL,Upper 95% CL
2012,Sex,Male,561,1116664,8.12,7.32,8.92
2013,Sex,Male,539,1307668,9.53,8.53,10.52
2014,Sex,Male,469,1424768,10.46,9.06,11.87
2015,Sex,Male,652,1332773,9.73,8.47,11
2016,Sex,Male,590,1559409,11.38,9.69,13.07
2017,Sex,Male,525,2001004,14.61,11.78,17.43
2018,Sex,Male,758,1835759,13.44,11.34,15.55
