Year,Strata,Strata Name,Frequency,Weighted Frequency,Percent,Lower 95% CL,Upper 95% CL
2012,Sex,Female,1359,2163108,15.25,14.3,16.2
2013,Sex,Female,1150,2337817,16.52,15.42,17.62
2014,Sex,Female,840,2268864,16.03,14.57,17.5
2015,Sex,Female,1196,2264798,16.01,14.61,17.41
2016,Sex,Female,1055,2270100,16.09,14.3,17.88
2017,Sex,Female,1025,3301418,23.33,20.65,26.01
2018,Sex,Female,1206,3106910,21.96,19.08,24.84
