Category,Value
Dance,62.346666666666664
Theater,60.099337748344375
Comics,54.379596016010424
Music,46.85980982628735
Art,41.16742372760113
Film & Video,37.34684520892289
Games,35.82303113553114
Design,35.4443137913657
Publishing,31.080227416298168
Photo,30.798620818190294
Food,24.920140879678925
Fashion,24.785074891429584
Crafts,24.218481621435934
Journalism,21.422523285351396
Technology,19.98633200795229
