developer,owners
"FromSoftware, Inc.",5000000
OVERKILL Software,5000000
Endnight Games Ltd,5000000
BlackSpot Entertainment,5000000
Double Action Factory,5000000
Relic,5000000
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",5000000
Fistful of Frags Team,5000000
Red Hook Studios,5000000
SEGA,4920000
Visual Concepts,4850000
Nival,4800000
"PopCap Games, Inc.",4750000
Bossa Studios,4740000
Ubisoft Kiev,4720000
QLOC,4590000
Vlambeer,4500000
NetherRealm Studios,4500000
Amaterasu Software,4450000
City Interactive,4450000
Pyro Studios,4300000
Giants Software,4200000
Eidos Montreal,4200000
Hopoo Games,4200000
NEKO WORKs,4100000
Ninja Kiwi,4070000
SNK CORPORATION,4050000
Criterion Games,4020000
Slightly Mad Studios,4020000
SnowFlame,4020000
Terry Cavanagh,4000000
Ion Storm,4000000
"FromSoftware, Inc",4000000
Aspyr Studios,4000000
Ubisoft Bucharest,4000000
Vigil Games,4000000
DotEmu,3990000
Creobit,3870000
Eugen Systems,3800000
Landfall,3720000
Reality Pump,3550000
Ninja Theory,3520000
Realmforge Studios,3500000
"Epic Games, Inc.",3500000
Cyanide Studio,3490000
NeocoreGames,3450000
Eko Software,3350000
Egosoft,3270000
CyberConnect2 Co. Ltd.,3250000
TT Games,3210000
Microids,3200000
Ubisoft Shanghai,3200000
Arc System Works,3190000
SkyBox Labs,3150000
Red Dot Games,3050000
Looking Glass Studios,3050000
Freebird Games,3050000
Zeboyd Games,3050000
"Jackbox Games, Inc.",3050000
Petroglyph,3020000
Mouldy Toof Studios,3020000
CI Games,3000000
Machine Games,3000000
Ubisoft Annecy,3000000
EA - Maxis,3000000
Digitalmindsoft,3000000
Codemasters Racing,3000000
High Voltage Software,3000000
inXile Entertainment,2970000
Beamdog,2900000
Sports Interactive,2840000
Eforb,2820000
Forever Entertainment S. A.,2800000
Gameloft,2800000
Might and Delight,2770000
Gaijin Games,2750000
Running With Scissors,2700000
New Reality Games,2700000
Amanita Design,2700000
Jetdogs Studios,2630000
Hipix Studio,2620000
Suspicious Developments,2600000
Zachtronics,2590000
Just1337 Studio,2560000
Ubisoft Paris,2550000
SimBin,2520000
Hello Games,2520000
Gamepires,2520000
Sometimes You,2520000
Dagestan Technology,2520000
Dodge Roll,2500000
Two Tribes,2500000
Elias Viglione,2500000
PlatinumGames,2500000
5th Cell Media,2500000
M2H,2500000
Creability,2500000
Monolith,2500000
"Arcen Games, LLC",2470000
Idea Factory,2440000
Positech Games,2400000
Dovetail Games,2350000
"Spike Chunsoft Co., Ltd.",2340000
Ankama Studio,2320000
EnsenaSoft,2310000
ACE Team,2300000
Soccer Manager Ltd,2300000
Astronomic Games,2250000
KAIKO,2250000
Cyanide Studios,2250000
Frogwares,2220000
SUPERHOT Team,2220000
Artifex Mundi,2220000
Snowbird Games,2220000
Double Helix Games,2200000
Kyle Seeley,2200000
Wolfire Games,2200000
Gunfire Games,2200000
Nihon Falcom,2200000
Total Mayhem Games,2200000
RPG Video,2200000
Blackmill Games,2200000
Outerlight Ltd.,2200000
Monolith Productions,2170000
Sigma Team Inc.,2170000
Spearhead Games,2150000
Tortuga Team,2150000
The Farm 51,2150000
Pilgrim Adventures,2120000
exosyphen studios,2110000
BANDAI NAMCO Studios Inc.,2100000
BetaDwarf,2100000
GrabTheGames Studios,2100000
Microsoft Game Studios,2100000
Stainless Games,2100000
Playa Games GmbH,2100000
DIMPS,2100000
Cellar Door Games,2100000
ColloseusX,2090000
CCP,2090000
IMGN.PRO,2050000
Stoic,2050000
Ironward,2050000
Arkedo,2050000
Digital Confectioners,2050000
Choice of Games,2050000
Evil Tortilla Games,2050000
Carbon Games,2040000
Rage Software,2040000
Masthead Studios Ltd,2020000
Data Realms,2020000
"Cygames, Inc.",2020000
"Monochrome, Inc",2020000
GDNomad,2020000
Humble Hearts LLC,2020000
Pieces Interactive,2020000
"Move Games Co., Ltd.",2020000
Bennett Foddy,2020000
CyberCoconut,2020000
RuneStorm,2020000
Wyrmbyte,2020000
kChamp Games,2020000
Creative Assembly,2020000
Spiderweb Software,2020000
Shiro Games,2020000
SnoutUp,2020000
Interplay Inc.,2000000
Timegate,2000000
Zenimax Online Studios,2000000
Darkflow Software,2000000
Black Isle Studios,2000000
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",2000000
Virtual Heroes,2000000
XLGAMES,2000000
Giulia Airoldi,2000000
WeMade,2000000
Reperio Studios,2000000
Alexander Bruce,2000000
2D BOY,2000000
Radical Entertainment,2000000
Day 1 Studios,2000000
Grapeshot Games,2000000
Greenheart Games,2000000
System Era Softworks,2000000
S2 Games,2000000
Blacklight Interactive,2000000
Nexon,2000000
墨鱼玩游戏,2000000
"Volition, Inc.",2000000
Hangar 13,2000000
devCAT,2000000
Boss Key Productions,2000000
Brace Yourself Games,2000000
Sledgehammer Games,2000000
Jussi Kukkonen,2000000
KOG,2000000
Ubisoft Belgrade,2000000
Big Huge Games,2000000
RobTop Games,2000000
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,2000000
Piranha Games Inc.,2000000
Cruderocks,2000000
Chris Sawyer Productions,2000000
Crowbar Collective,2000000
Mega Crit Games,2000000
Berserk Games,2000000
Pearl Abyss,2000000
Panzar Studio,2000000
Ubisoft Milan,2000000
1C Entertainment,2000000
Rockstar Leeds,2000000
Paul Fisch,2000000
Wube Software LTD.,2000000
Game Science,2000000
"JumpStart Games, Inc.",2000000
Rockstar New England,2000000
Team Cherry,2000000
Team Bondi,2000000
Rockstar Studios,2000000
Polytron Corporation,2000000
Nexon Korea Corporation,2000000
Ludeon Studios,2000000
DoubleDutch Games,2000000
Visceral Games,2000000
EVGA,2000000
Shining Rock Software LLC,2000000
"Creative Assembly, PC Port - Hardlight",2000000
Warhorse Studios,2000000
Motion Twin,2000000
Army Game Studio,2000000
Creaky Corpse Ltd,2000000
Boneloaf,2000000
Ubisoft Singapore,2000000
IO Interactive,2000000
United Front Games,2000000
Number None,2000000
800 North and Digital Ranch,2000000
Starbreeze Studios AB,2000000
Starbreeze,2000000
Electronic Arts,2000000
Crate Entertainment,2000000
Lag Studios,2000000
WEBZEN Inc.,2000000
Lab Zero Games,2000000
WastedStudios,2000000
"Sparkypants Studios, LLC",2000000
Hinterland Studio Inc.,2000000
Soviet Games,2000000
Blit Software,2000000
Ndemic Creations,2000000
Desertkun,2000000
Oovee® Game Studios,2000000
Bugbear Entertainment,2000000
Lionhead Studios,2000000
Reflections,2000000
Monomi Park,2000000
Poppermost Productions,2000000
"Lion Games Co., Ltd.",2000000
Devil's Details,2000000
Moon Studios GmbH,2000000
Codemasters Racing Studio,2000000
Studio MDHR Entertainment Inc.,2000000
Abstraction Games,1960000
Minor Key Games,1960000
