Year,Price
2000.9166666666666666,7.19
1999.3333333333333333,3.99
2003.4166666666666667,3.99
2001.5,3.99
1999.9166666666666666,3.99
2000.9166666666666666,3.99
1998.9166666666666666,7.19
2004.25,7.19
2001.5,3.99
2004.9166666666666666,7.19
2004.9166666666666666,7.19
2004.5,0.0
2010.5833333333333334,7.19
2004.9166666666666666,3.99
2005.8333333333333334,0.0
2006.4166666666666667,0.0
2006.5,5.79
2007.8333333333333334,7.19
2007.8333333333333334,5.79
2007.8333333333333334,0.0
2008.9166666666666666,7.19
2009.9166666666666666,7.19
2013.5833333333333334,0.0
2011.3333333333333333,7.19
2010.5833333333333334,0.0
2012.6666666666666666,0.0
2005.8333333333333334,5.99
2006.25,3.99
2009.4166666666666667,14.99
2006.4166666666666667,7.19
2005.5833333333333334,7.19
2006.6666666666666666,6.99
2006.75,7.19
2008.75,7.19
2006.16666666666666666,22.99
2006.16666666666666666,6.99
2006.5833333333333334,4.99
2006.5833333333333334,4.99
2006.5833333333333334,3.99
2006.8333333333333334,10.99
2007.3333333333333333,2.99
2012.5833333333333334,0.0
2006.3333333333333333,3.99
2009.3333333333333333,6.99
2006.8333333333333334,4.29
2007.6666666666666666,12.99
2011.6666666666666666,12.99
2007.6666666666666666,2.99
2007.6666666666666666,3.99
2007.6666666666666666,3.99
2007.6666666666666666,3.99
2007.6666666666666666,3.99
2007.6666666666666666,3.99
2007.6666666666666666,2.49
2007.6666666666666666,2.49
2007.6666666666666666,12.99
2007.6666666666666666,2.99
2007.6666666666666666,2.99
2007.6666666666666666,2.99
2006.5833333333333334,0.0
2010.8333333333333334,4.29
2006.4166666666666667,3.99
2006.1,0.0
2007.9166666666666666,2.99
2007.25,14.99
2006.8333333333333334,9.99
2006.8333333333333334,14.99
2006.8333333333333334,14.99
2006.8333333333333334,14.99
2008.25,1.99
2007.5833333333333334,3.99
2008.25,5.99
2006.5833333333333334,4.99
2006.5833333333333334,9.99
2008.8333333333333334,15.99
2010.8333333333333334,3.49
2010.8333333333333334,3.49
2013.9166666666666666,24.99
2006.8333333333333334,22.99
2006.8333333333333334,22.99
2006.8333333333333334,22.99
2006.1,5.99
2006.6666666666666666,3.99
2007.9166666666666666,8.59
2008.8333333333333334,3.99
2009.9166666666666666,3.99
2009.9166666666666666,7.99
2007.6666666666666666,4.49
2007.6666666666666666,4.49
